user_name,repository_name,no_of_stars,repository_url
twbs,bootstrap,154000.0,https://github.com/twbs/bootstrap
ColorlibHQ,AdminLTE,39900.0,https://github.com/ColorlibHQ/AdminLTE
tabler,tabler,24400.0,https://github.com/tabler/tabler
mdbootstrap,mdb-ui-kit,21700.0,https://github.com/mdbootstrap/mdb-ui-kit
ColorlibHQ,gentelella,20400.0,https://github.com/ColorlibHQ/gentelella
react-bootstrap,react-bootstrap,20200.0,https://github.com/react-bootstrap/react-bootstrap
verekia,js-stack-from-scratch,18800.0,https://github.com/verekia/js-stack-from-scratch
bootstrap-vue,bootstrap-vue,13500.0,https://github.com/bootstrap-vue/bootstrap-vue
thomaspark,bootswatch,13300.0,https://github.com/thomaspark/bootswatch
uxsolutions,bootstrap-datepicker,12500.0,https://github.com/uxsolutions/bootstrap-datepicker
wenzhixin,bootstrap-table,11000.0,https://github.com/wenzhixin/bootstrap-table
coreui,coreui-free-bootstrap-admin-template,11000.0,https://github.com/coreui/coreui-free-bootstrap-admin-template
reactstrap,reactstrap,10200.0,https://github.com/reactstrap/reactstrap
Templarian,MaterialDesign,9600.0,https://github.com/Templarian/MaterialDesign
mdbootstrap,material-design-for-bootstrap,9500.0,https://github.com/mdbootstrap/material-design-for-bootstrap
snapappointments,bootstrap-select,9400.0,https://github.com/snapappointments/bootstrap-select
StartBootstrap,startbootstrap-sb-admin-2,9000.0,https://github.com/StartBootstrap/startbootstrap-sb-admin-2
ng-bootstrap,ng-bootstrap,7900.0,https://github.com/ng-bootstrap/ng-bootstrap
BlackrockDigital,startbootstrap,7100.0,https://github.com/BlackrockDigital/startbootstrap
olton,Metro-UI-CSS,6800.0,https://github.com/olton/Metro-UI-CSS
twbs,icons,5700.0,https://github.com/twbs/icons
creativetimofficial,material-kit,5600.0,https://github.com/creativetimofficial/material-kit
febsteam,FEBS-Shiro,5600.0,https://github.com/febsteam/FEBS-Shiro
valor-software,ngx-bootstrap,5300.0,https://github.com/valor-software/ngx-bootstrap
Bttstrp,bootstrap-switch,5100.0,https://github.com/Bttstrp/bootstrap-switch
kartik-v,bootstrap-fileinput,5100.0,https://github.com/kartik-v/bootstrap-fileinput
jschr,bootstrap-modal,5000.0,https://github.com/jschr/bootstrap-modal
seyhunak,twitter-bootstrap-rails,4500.0,https://github.com/seyhunak/twitter-bootstrap-rails
cloudfavorites,favorites-web,4500.0,https://github.com/cloudfavorites/favorites-web
cydrobolt,polr,4100.0,https://github.com/cydrobolt/polr
